Date,Time,Tsu,Vol,Country,City,Location,Mag,"MMI Int","Total Deaths","Total Missing"
09-12-2016,19:11:24,5632,,"Solomon Islands",,,"6,9",7,,
17-12-2016,10:51:05,5636,,"Papua New Guinea","  New Britain New Ireland",,"7,9",7,,
19-12-2016,07:11:00,,,Ecuador,"  Esmeraldas",,"5,4",6,3,
25-12-2016,14:22:00,5637,,Chile,,,"7,6",7,,
03-01-2017,09:09:08,,,India,"  Ambasa;  Bangladesh",,"5,7",0,3,
03-01-2017,21:53:07,5639,,"Fiji Islands",,,"6,9",6,,
06-01-2017,02:33:21,,,Iran,"  Khonj",,5,0,4,
11-01-2017,22:07:07,,,Madagascar," Antsirabe",,"5,5",0,2,
18-01-2017,10:14:09,,,Italy,"  Farindola",,"5,7",0,34,
22-01-2017,04:31:36,5642,,"Papua New Guinea","  Bougainville Island",,"7,9",9,3,
06-02-2017,03:52:04,,,Turkey,"  Canakkale",,"5,3",0,,
06-02-2017,13:02:14,,,Colombia,"  Huila",,"5,5",0,,
07-02-2017,22:03:39,,,Pakistan,"  Pasni",,"6,3",0,,
10-02-2017,14:04:32,,,Philippines," Surigao Del Norte",,"6,5",8,8,
24-02-2017,00:32:08,,,Zambia,"  Kaputa",,"5,9",0,,
05-03-2017,00:08:01,,,Philippines," Surigao Del Norte",,"5,7",0,1,
13-03-2017,14:20:07,,,"Myanmar (Burma)","  Tharrawaddy",,"5,1",0,2,
21-03-2017,23:10:15,,,Indonesia,"  Bali",,"5,6",0,,
26-03-2017,23:55:06,,,China,"   Yunnan Province",,5,2,,
05-04-2017,06:09:02,,,Iran,"  Sefid Sang",,"6,1",0,2,
08-04-2017,07:09:18,,,Philippines," Batangas, Calabarzon",,"5,9",0,,
10-04-2017,23:54:03,,,"El Salvador"," San Salvador,Soyapango",,"4,8",0,1,
24-04-2017,21:39:22,5647,,Chile,"  Valparaiso",,"6,9",9,,
28-04-2017,20:23:26,5648,,Philippines," Sarangani",,"6,9",9,,
01-05-2017,12:31:03,5649,,Alaska,"  Skagway; Canada","  British Columbia","6,2",0,,
03-05-2017,04:47:38,,,Kyrgyzstan,"  Osh, Batken",,6,0,,
