,Date,Year,Month,ISO_3,Precipitation,SPI
196,1917-05-31,1917,May,CAN,32.56,1.5108244811609555
197,1917-06-30,1917,June,CAN,54.56,0.19010720673462747
198,1917-07-31,1917,July,CAN,60.66,0.8877136692261622
199,1917-08-31,1917,August,CAN,59.28,0.521021283285051
200,1917-09-30,1917,September,CAN,44.49,2.1884746569647917
201,1917-10-31,1917,October,CAN,55.36,-1.3150252803568911
202,1917-11-30,1917,November,CAN,37.21,1.4891813688481979
203,1917-12-31,1917,December,CAN,42.05,-0.8222352302202921
204,1918-01-31,1918,January,CAN,39.51,-0.9590026439281483
205,1918-02-28,1918,February,CAN,31.11,-0.5899823869637492
206,1918-03-31,1918,March,CAN,28.67,0.8008675590731592
207,1918-04-30,1918,April,CAN,24.29,2.0955254096284555
208,1918-05-31,1918,May,CAN,37.4,0.28562923745503754
209,1918-06-30,1918,June,CAN,52.22,0.7355769525275144
210,1918-07-31,1918,July,CAN,61.99,0.5666083404139187
211,1918-08-31,1918,August,CAN,64.25,-0.516758821143715
212,1918-09-30,1918,September,CAN,49.78,1.117174981090403
213,1918-10-31,1918,October,CAN,52.27,-0.6794744904695605
214,1918-11-30,1918,November,CAN,40.74,0.7609579378082784
215,1918-12-31,1918,December,CAN,37.82,0.2577674845990512
216,1919-01-31,1919,January,CAN,34.11,0.3524505321761917
217,1919-02-28,1919,February,CAN,26.46,0.6178682480657335
218,1919-03-31,1919,March,CAN,32.22,-0.1718813734869318
219,1919-04-30,1919,April,CAN,30.72,-0.2541339471093496
220,1919-05-31,1919,May,CAN,37.11,0.3590396962721275
221,1919-06-30,1919,June,CAN,50.22,1.2017904104701522
222,1919-07-31,1919,July,CAN,60.79,0.8563274340791004
223,1919-08-31,1919,August,CAN,59.77,0.41870493496108774
224,1919-09-30,1919,September,CAN,52.28,0.6108896900344535
225,1919-10-31,1919,October,CAN,49.14,-0.035696505891130506
226,1919-11-30,1919,November,CAN,47.27,-0.5861522618208075
227,1919-12-31,1919,December,CAN,33.56,1.3454297931405177
228,1920-01-31,1920,January,CAN,37.41,-0.44899307544312667
229,1920-02-29,1920,February,CAN,24.86,1.033472767645771
230,1920-03-31,1920,March,CAN,32.55,-0.2623059221474469
231,1920-04-30,1920,April,CAN,31.99,-0.7182190766672053
232,1920-05-31,1920,May,CAN,31.3,1.8297802677455546
233,1920-06-30,1920,June,CAN,50.4,1.159831199255315
234,1920-07-31,1920,July,CAN,59.68,1.1243175957193925
235,1920-08-31,1920,August,CAN,59.29,0.5189331945437461
236,1920-09-30,1920,September,CAN,56.67,-0.2781472810597939
237,1920-10-31,1920,October,CAN,48.76,0.042461843674302356
238,1920-11-30,1920,November,CAN,37.24,1.482992501162306
239,1920-12-31,1920,December,CAN,39.71,-0.2247869198946984
240,1921-01-31,1921,January,CAN,32.89,0.6487418052960608
241,1921-02-28,1921,February,CAN,29.34,-0.13021988717833316
242,1921-03-31,1921,March,CAN,32.36,-0.21024330322169613
243,1921-04-30,1921,April,CAN,30.84,-0.29798451053213953
244,1921-05-31,1921,May,CAN,34.5,1.019733825625939
245,1921-06-30,1921,June,CAN,49.76,1.3090195057969591
246,1921-07-31,1921,July,CAN,61.39,0.7114678872465096
247,1921-08-31,1921,August,CAN,61.5,0.05746558271526031
248,1921-09-30,1921,September,CAN,61.62,-1.280592157350573
249,1921-10-31,1921,October,CAN,46.05,0.5998542839962016
250,1921-11-30,1921,November,CAN,42.37,0.4246961268748322
251,1921-12-31,1921,December,CAN,33.62,1.330110605696273
252,1922-01-31,1922,January,CAN,29.6,1.4477567959225939
253,1922-02-28,1922,February,CAN,27.43,0.36590800807033624
254,1922-03-31,1922,March,CAN,28.14,0.9460948644976238
255,1922-04-30,1922,April,CAN,30.28,-0.09334854789245553
256,1922-05-31,1922,May,CAN,38.24,0.07299204639863752
257,1922-06-30,1922,June,CAN,49.65,1.334661245983804
258,1922-07-31,1922,July,CAN,58.01,1.527510001070103
259,1922-08-31,1922,August,CAN,58.1,0.767415754759084
260,1922-09-30,1922,September,CAN,50.46,0.9794653819231848
261,1922-10-31,1922,October,CAN,45.1,0.7952501579097815
262,1922-11-30,1922,November,CAN,39.19,1.0807161015793485
263,1922-12-31,1922,December,CAN,36.2,0.671385545593693
264,1923-01-31,1923,January,CAN,34.71,0.20673351260904244
265,1923-02-28,1923,February,CAN,26.29,0.6620262282711129
266,1923-03-31,1923,March,CAN,32.74,-0.3143685410731996
267,1923-04-30,1923,April,CAN,28.09,0.7069242345734538
268,1923-05-31,1923,May,CAN,35.95,0.6526815315404874
269,1923-06-30,1923,June,CAN,55.4,-0.005702445601279525
270,1923-07-31,1923,July,CAN,65.33,-0.2397764702875007
271,1923-08-31,1923,August,CAN,59.88,0.39573595880672885
272,1923-09-30,1923,September,CAN,47.06,1.6680133777592758
273,1923-10-31,1923,October,CAN,41.13,1.6117992310012716
274,1923-11-30,1923,November,CAN,38.55,1.2127452788783708
275,1923-12-31,1923,December,CAN,39.68,-0.2171273261725751
276,1924-01-31,1924,January,CAN,37.1,-0.37370594866676754
277,1924-02-29,1924,February,CAN,29.34,-0.13021988717833316
278,1924-03-31,1924,March,CAN,24.42,1.9654261403070719
279,1924-04-30,1924,April,CAN,31.77,-0.6378263770587582
280,1924-05-31,1924,May,CAN,32.61,1.4981675055028372
281,1924-06-30,1924,June,CAN,46.47,2.075940644112598
282,1924-07-31,1924,July,CAN,59.44,1.1822614144524293
283,1924-08-31,1924,August,CAN,66.29,-0.9427289243700107
284,1924-09-30,1924,September,CAN,54.74,0.11270496363539903
285,1924-10-31,1924,October,CAN,44.23,0.974191642441167
286,1924-11-30,1924,November,CAN,40.45,0.8207836587718976
287,1924-12-31,1924,December,CAN,36.87,0.5003212857996139
288,1925-01-31,1925,January,CAN,33.59,0.4787386158010531
289,1925-02-28,1925,February,CAN,31.09,-0.5847873304689988
290,1925-03-31,1925,March,CAN,34.06,-0.676066735715262
291,1925-04-30,1925,April,CAN,27.64,0.8713638474089141
292,1925-05-31,1925,May,CAN,30.66,1.9917895561694778
293,1925-06-30,1925,June,CAN,55.75,-0.08728980074124147
294,1925-07-31,1925,July,CAN,60.51,0.9239285559343094
295,1925-08-31,1925,August,CAN,58.22,0.7423586898634201
296,1925-09-30,1925,September,CAN,54.94,0.07220214035092394
297,1925-10-31,1925,October,CAN,46.62,0.48261675964805295
298,1925-11-30,1925,November,CAN,39.68,0.9796312627097843
299,1925-12-31,1925,December,CAN,38.35,0.12244799550821112
300,1926-01-31,1926,January,CAN,30.63,1.1976092456656555
301,1926-02-28,1926,February,CAN,29.18,-0.08865943522032942
302,1926-03-31,1926,March,CAN,26.61,1.3653359537418328
303,1926-04-30,1926,April,CAN,26.62,1.244093636502625
304,1926-05-31,1926,May,CAN,35.13,0.860255932333639
305,1926-06-30,1926,June,CAN,53.04,0.5444294347710329
306,1926-07-31,1926,July,CAN,57.31,1.6965128057081242
307,1926-08-31,1926,August,CAN,59.34,0.5084927508372183
308,1926-09-30,1926,September,CAN,53.97,0.2686408332806321
309,1926-10-31,1926,October,CAN,53.15,-0.8604727736737187
310,1926-11-30,1926,November,CAN,46.29,-0.38398258408167896
311,1926-12-31,1926,December,CAN,38.24,0.15053317248932865
312,1927-01-31,1927,January,CAN,29.68,1.4283278599803078
313,1927-02-28,1927,February,CAN,26.06,0.7217693779607433
314,1927-03-31,1927,March,CAN,27.58,1.0995425834366812
315,1927-04-30,1927,April,CAN,28.1,0.7032700209548873
316,1927-05-31,1927,May,CAN,43.93,-1.3673717834953039
317,1927-06-30,1927,June,CAN,51.07,1.003649690844531
318,1927-07-31,1927,July,CAN,65.38,-0.2518480991902159
319,1927-08-31,1927,August,CAN,58.37,0.71103735874384
320,1927-09-30,1927,September,CAN,57.36,-0.4178820213912355
321,1927-10-31,1927,October,CAN,50.96,-0.41003386433609595
322,1927-11-30,1927,November,CAN,49.27,-0.9987434408802518
323,1927-12-31,1927,December,CAN,39.41,-0.14819098267346725
324,1928-01-31,1928,January,CAN,35.57,-0.0021275487705375478
325,1928-02-29,1928,February,CAN,22.03,1.7685732616529612
326,1928-03-31,1928,March,CAN,31.96,-0.10063778969379887
327,1928-04-30,1928,April,CAN,30.11,-0.031226916376836424
328,1928-05-31,1928,May,CAN,34.22,1.0906128893114058
329,1928-06-30,1928,June,CAN,56.4,-0.23880917457259843
330,1928-07-31,1928,July,CAN,60.71,0.8756420403234453
331,1928-08-31,1928,August,CAN,57.86,0.8175298845504132
332,1928-09-30,1928,September,CAN,46.38,1.805722976926494
333,1928-10-31,1928,October,CAN,46.6,0.48673035699360123
334,1928-11-30,1928,November,CAN,33.98,2.155516123029201
335,1928-12-31,1928,December,CAN,32.14,1.7079838959876739
336,1929-01-31,1929,January,CAN,35.06,0.12173191786153854
337,1929-02-28,1929,February,CAN,21.71,1.8516941655689687
338,1929-03-31,1929,March,CAN,33.33,-0.47603667352684764
339,1929-04-30,1929,April,CAN,31.04,-0.37106878290345513
340,1929-05-31,1929,May,CAN,35.98,0.6450873461456175
341,1929-06-30,1929,June,CAN,49.76,1.3090195057969591
342,1929-07-31,1929,July,CAN,57.29,1.7013414572692114
343,1929-08-31,1929,August,CAN,53.11,1.8093720366704613
344,1929-09-30,1929,September,CAN,48.54,1.3682924854541543
345,1929-10-31,1929,October,CAN,46.28,0.5525479145223864
346,1929-11-30,1929,November,CAN,42.07,0.48658480373374824
347,1929-12-31,1929,December,CAN,39.72,-0.22734011780207225
348,1930-01-31,1930,January,CAN,27.92,1.8557644507106108
349,1930-02-28,1930,February,CAN,33.0,-1.0809152257176682
350,1930-03-31,1930,March,CAN,30.87,0.19803723466972223
351,1930-04-30,1930,April,CAN,28.61,0.5169051264080327
352,1930-05-31,1930,May,CAN,37.69,0.21221877863794755
353,1930-06-30,1930,June,CAN,59.19,-0.8891769484025779
354,1930-07-31,1930,July,CAN,63.3,0.250331663162764
355,1930-08-31,1930,August,CAN,52.24,1.9910357571640276
356,1930-09-30,1930,September,CAN,57.04,-0.3530775041360739
357,1930-10-31,1930,October,CAN,44.93,0.8302157353469489
358,1930-11-30,1930,November,CAN,39.51,1.0147015129298373
359,1930-12-31,1930,December,CAN,33.23,1.4296853240838723
360,1931-01-31,1931,January,CAN,33.59,0.4787386158010531
361,1931-02-28,1931,February,CAN,23.19,1.4672599849574344
362,1931-03-31,1931,March,CAN,33.05,-0.399312814057319
363,1931-04-30,1931,April,CAN,27.26,1.010223964914414
364,1931-05-31,1931,May,CAN,35.9,0.6653385071986074
365,1931-06-30,1931,June,CAN,54.95,0.09919558243581299
366,1931-07-31,1931,July,CAN,62.22,0.5110788474614264
367,1931-08-31,1931,August,CAN,55.55,1.2998783837919528
368,1931-09-30,1931,September,CAN,62.45,-1.4486788739811494
369,1931-10-31,1931,October,CAN,46.87,0.4311967928286896
370,1931-11-30,1931,November,CAN,40.46,0.8187207028766008
371,1931-12-31,1931,December,CAN,36.14,0.6867047330379396
372,1932-01-31,1932,January,CAN,39.02,-0.8400004112816445
373,1932-02-29,1932,February,CAN,33.56,-1.2263768075706818
374,1932-03-31,1932,March,CAN,35.45,-1.0569458952247064
375,1932-04-30,1932,April,CAN,32.17,-0.7839949218013907
376,1932-05-31,1932,May,CAN,32.09,1.6298000523472738
377,1932-06-30,1932,June,CAN,55.52,-0.03367525307783885
378,1932-07-31,1932,July,CAN,69.93,-1.3503663293373631
379,1932-08-31,1932,August,CAN,65.61,-0.8007388899612444
380,1932-09-30,1932,September,CAN,50.92,0.8863088883688899
381,1932-10-31,1932,October,CAN,54.35,-1.1072886144066634
382,1932-11-30,1932,November,CAN,50.49,-1.2504240601065126
383,1932-12-31,1932,December,CAN,34.38,1.1360675647358223
384,1933-01-31,1933,January,CAN,35.21,0.08530266296975167
385,1933-02-28,1933,February,CAN,30.16,-0.3432172034631023
386,1933-03-31,1933,March,CAN,32.63,-0.2842270248530279
387,1933-04-30,1933,April,CAN,29.96,0.023586287901649964
388,1933-05-31,1933,May,CAN,40.39,-0.471257906900479
389,1933-06-30,1933,June,CAN,50.03,1.2460806889747023
390,1933-07-31,1933,July,CAN,55.43,2.1504060524502417
391,1933-08-31,1933,August,CAN,52.26,1.9868595796814177
392,1933-09-30,1933,September,CAN,60.47,-1.0477009234648365
393,1933-10-31,1933,October,CAN,56.05,-1.4569443887783335
394,1933-11-30,1933,November,CAN,52.6,-1.6857077540142262
395,1933-12-31,1933,December,CAN,46.52,-1.9635146948166218
396,1934-01-31,1934,January,CAN,38.12,-0.6214248819309197
397,1934-02-28,1934,February,CAN,23.7,1.334786044341298
398,1934-03-31,1934,March,CAN,30.93,0.18159640764053792
399,1934-04-30,1934,April,CAN,30.31,-0.10431118874815204
400,1934-05-31,1934,May,CAN,34.17,1.1032698649695238
401,1934-06-30,1934,June,CAN,57.14,-0.4113081540113749
402,1934-07-31,1934,July,CAN,60.67,0.8852993434456178
403,1934-08-31,1934,August,CAN,54.88,1.4397803294594111
404,1934-09-30,1934,September,CAN,56.76,-0.2963735515378073
405,1934-10-31,1934,October,CAN,47.83,0.23374412024233407
406,1934-11-30,1934,November,CAN,46.87,-0.5036340260089175
407,1934-12-31,1934,December,CAN,37.61,0.31138464065391247
408,1935-01-31,1935,January,CAN,45.5,-2.413744222606852
409,1935-02-28,1935,February,CAN,21.54,1.8958521457743482
