Variable:,pr
,Nigeria,Adamawa,"Akwa Ibom",Anambra,Benue,Borno,"Cross River",Delta,Edo,Abuja,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Niger,Ogun,Osun,Oyo,Taraba,Yobe,Abia,Bauchi,Bayelsa,Ebonyi,Ekiti,Enugu,Gombe,Nassarawa,Ondo,Plateau,Rivers,Sokoto,Zamfara
1948,1162.73,1168.71,2465.00,2006.13,1791.67,554.95,2340.74,1998.23,1719.90,1339.55,2249.26,660.25,1158.48,861.42,802.55,854.26,1461.82,1021.06,988.12,1054.11,902.27,984.82,877.45,1551.73,535.58,2312.53,967.26,2158.97,2140.41,1241.94,1926.34,939.45,1447.18,1376.20,1358.11,2334.31,703.91,880.42
1949,1142.06,982.43,2566.33,2246.26,1733.32,417.25,2383.88,2364.65,2071.50,1253.90,2478.02,472.25,1004.26,690.03,610.31,770.24,1632.21,1281.92,1415.83,1095.91,1364.40,1494.07,1360.26,1411.54,360.24,2508.69,723.83,2445.26,2222.89,1584.76,2085.03,701.13,1302.29,1812.70,1107.23,2547.16,532.53,730.25
1950,1109.95,1009.83,2294.50,1706.04,1465.64,742.02,2093.97,1781.70,1541.24,1058.51,1958.70,768.30,1032.62,858.20,838.55,894.01,1257.60,1049.73,1224.81,1003.43,1137.92,1205.43,1069.35,1271.77,748.54,2055.60,935.83,1980.91,1828.84,1269.53,1619.98,900.18,1112.61,1406.06,1055.98,2124.94,807.75,934.31
1951,1234.90,1138.92,2433.20,1957.06,1673.91,571.43,2304.34,2167.08,1860.89,1309.82,2216.46,716.56,1210.18,897.89,809.81,996.21,1477.12,1332.76,1569.32,1278.23,1422.34,1543.10,1295.32,1503.30,554.59,2274.97,960.20,2282.87,2015.61,1530.86,1801.96,925.30,1343.53,1750.94,1249.79,2342.29,755.60,925.86
1952,1258.33,1013.75,2747.32,2144.44,1698.98,682.83,2474.82,2348.82,1926.92,1236.18,2444.38,900.06,1173.26,1006.22,939.83,986.20,1471.60,1092.05,1613.67,1068.60,1430.49,1469.00,1199.00,1406.69,731.59,2557.47,1050.19,2549.72,2232.06,1417.20,2004.67,953.30,1302.88,1734.71,1228.77,2635.31,957.58,1027.56
1953,1234.12,1072.49,2459.94,1938.83,1606.03,713.09,2295.86,2034.85,1816.26,1256.87,2160.75,808.94,1105.70,887.75,895.15,1091.27,1477.65,1315.33,1395.96,1208.75,1306.56,1416.56,1293.40,1348.90,765.03,2227.42,1003.07,2156.67,2001.25,1496.99,1822.25,980.69,1269.60,1639.67,1157.74,2285.86,919.94,1021.64
1954,1391.29,1125.94,2880.37,2336.17,1965.93,648.99,2744.96,2438.69,2105.70,1420.24,2659.76,1030.27,1373.20,1198.75,1089.14,1071.55,1723.54,1260.79,1551.01,1256.26,1409.37,1522.24,1235.60,1701.48,696.92,2738.53,1203.07,2656.85,2436.65,1660.19,2179.54,1047.80,1508.66,1836.48,1432.33,2828.02,906.86,1093.13
1955,1335.50,1192.17,2713.10,2252.43,1797.74,668.61,2486.89,2392.34,2059.00,1463.82,2520.29,884.36,1318.46,1070.92,949.49,1006.27,1639.52,1375.39,1612.31,1318.24,1473.97,1561.01,1358.90,1545.26,629.15,2590.87,1063.98,2528.28,2260.02,1627.90,2107.17,979.57,1493.70,1851.79,1369.50,2645.85,739.19,987.07
1956,1108.40,1038.38,2721.29,1910.49,1561.01,639.07,2447.43,2006.23,1643.90,1047.45,2214.82,750.24,935.68,790.82,778.81,863.53,1305.67,997.51,1231.78,944.69,1130.48,1217.18,986.63,1331.76,633.65,2351.54,870.50,2310.13,2079.66,1275.89,1831.38,836.30,1121.12,1441.06,1056.18,2448.35,699.92,854.34
1957,1409.30,1210.34,2850.67,2309.75,1863.18,697.85,2627.63,2593.71,2241.75,1444.53,2581.79,885.52,1386.18,1107.73,1021.87,1040.45,1705.08,1418.18,1969.70,1314.98,1789.59,1859.37,1482.49,1605.11,692.39,2649.41,1155.46,2683.96,2334.47,1798.03,2103.66,1086.41,1501.83,2135.40,1405.94,2716.17,833.47,1093.66
1958,1091.92,1121.08,2304.97,1664.02,1379.55,686.86,2080.73,1786.70,1499.83,1070.93,1980.28,812.61,1050.19,924.94,845.46,779.89,1198.12,945.62,1321.58,954.25,1147.40,1165.38,917.46,1300.16,673.30,2069.91,988.52,2033.67,1791.89,1250.52,1568.93,983.09,1086.99,1398.26,1080.21,2174.47,776.05,915.26
1959,1212.56,1131.10,2807.70,1908.89,1565.27,730.29,2373.17,2112.00,1741.40,1179.68,2210.66,776.80,1157.50,892.28,845.38,907.06,1344.12,1206.66,1605.05,1114.11,1451.85,1429.33,1261.31,1418.05,654.28,2336.12,994.73,2316.03,1988.31,1402.09,1764.08,972.36,1247.43,1640.20,1238.37,2468.85,740.87,913.61
1960,1275.66,1251.45,2955.62,2132.38,1693.67,711.76,2531.48,2279.97,1895.36,1325.39,2454.91,720.37,1172.25,882.82,878.79,922.85,1543.06,1333.72,1554.64,1195.87,1423.32,1498.05,1347.39,1480.72,667.68,2566.39,983.44,2510.89,2230.90,1560.04,2010.50,1020.03,1332.79,1715.39,1235.08,2675.94,714.02,966.00
1961,1109.36,1020.13,2465.91,1890.49,1412.57,725.35,2139.33,2085.60,1697.65,1012.11,2185.46,835.42,927.44,876.71,847.38,821.37,1262.31,1005.89,1454.43,953.19,1325.48,1281.61,1055.99,1270.43,714.51,2238.73,899.97,2263.33,1895.35,1277.84,1739.13,883.00,1046.33,1563.71,972.57,2350.89,727.87,846.90
1962,1324.11,1170.34,2826.37,2171.36,1772.38,649.31,2497.13,2352.93,1975.10,1356.48,2463.33,795.26,1312.35,993.63,879.23,942.71,1582.85,1387.86,1815.90,1298.24,1693.52,1608.70,1481.67,1554.41,624.08,2542.06,1103.78,2523.77,2224.36,1597.29,2032.64,1022.24,1411.43,1840.89,1358.82,2630.28,712.59,975.47
1963,1335.28,1276.56,2320.88,2187.37,1751.33,614.94,2258.42,2451.86,2217.04,1433.08,2334.31,738.98,1215.00,936.38,866.19,929.68,1720.05,1531.77,2039.53,1285.65,1897.18,1875.18,1728.27,1530.08,610.42,2317.72,1040.15,2473.44,2117.27,1858.34,1981.33,1077.21,1489.12,2122.29,1388.37,2403.71,678.17,954.46
1964,1210.42,1062.37,2712.58,1899.58,1666.24,648.51,2387.71,1948.67,1651.45,1282.33,2148.65,800.43,1164.87,950.53,904.28,1009.65,1416.45,1094.94,1387.83,1145.67,1238.63,1274.44,1040.52,1512.30,746.08,2275.80,1016.30,2146.60,2060.08,1330.12,1837.10,949.07,1333.62,1492.42,1244.18,2357.73,776.39,974.70
1965,1176.26,1047.76,2877.04,2051.18,1546.33,582.76,2419.37,2279.22,1899.97,1137.13,2377.39,669.55,1048.23,874.33,831.55,881.23,1396.26,1134.37,1909.32,1025.69,1665.99,1601.68,1273.53,1321.82,544.13,2492.12,867.23,2408.99,2078.08,1507.23,1868.89,821.52,1163.20,1827.05,1051.15,2597.98,791.82,926.92
1966,1229.44,1024.90,2750.66,2076.97,1751.11,618.58,2399.46,2230.83,1894.58,1348.66,2323.52,702.99,1210.06,940.44,859.64,870.99,1531.19,1169.83,1467.97,1132.91,1353.70,1391.77,1170.19,1493.73,606.01,2413.82,980.63,2411.07,2147.99,1496.81,1972.44,894.55,1412.19,1681.16,1292.67,2537.68,715.82,952.75
1967,1146.44,1072.98,2511.66,1894.13,1569.10,666.18,2303.27,2026.82,1665.13,1186.99,2176.65,706.15,1074.27,842.72,803.82,860.20,1343.39,1113.67,1324.89,1055.24,1219.06,1220.74,1107.25,1369.11,626.85,2270.33,926.68,2220.73,1997.26,1278.19,1773.54,961.15,1230.72,1479.38,1146.19,2334.19,685.12,859.64
1968,1295.71,1147.10,2598.84,2004.36,1664.50,630.45,2349.95,2434.14,2162.96,1375.74,2235.05,584.11,1143.73,792.39,697.91,889.23,1648.50,1519.46,2484.26,1266.76,2201.84,2180.83,1760.74,1465.20,608.34,2325.10,954.99,2380.10,2013.38,1921.68,1834.46,1002.15,1398.98,2299.95,1299.65,2406.16,604.67,809.99
1969,1267.06,1184.92,3015.93,2182.70,1823.89,531.06,2656.78,2338.78,1961.54,1406.66,2525.04,655.05,1236.98,855.47,805.10,948.65,1589.29,1218.27,1538.79,1208.39,1374.59,1481.39,1174.82,1566.39,487.43,2662.70,977.97,2528.30,2270.30,1561.18,2051.86,959.71,1470.46,1757.33,1355.54,2751.62,727.93,941.12
1970,1119.40,977.19,2416.69,1976.77,1571.00,600.74,2180.32,2124.10,1799.26,1188.87,2201.17,607.64,1025.50,768.77,757.63,826.37,1426.99,1057.61,1556.86,1021.02,1411.57,1385.58,1121.53,1328.30,559.39,2234.42,818.21,2236.08,1965.32,1434.41,1852.98,812.96,1233.62,1655.84,1092.82,2301.28,647.37,828.67
1971,1109.73,967.90,2603.58,1997.78,1629.90,517.24,2348.04,2064.10,1777.36,1297.05,2195.32,647.54,1073.47,750.30,653.09,776.00,1477.97,1072.53,1235.42,1051.67,1119.38,1246.79,1052.78,1333.47,518.25,2235.69,896.18,2179.09,2037.12,1372.68,1893.47,850.49,1338.31,1535.29,1169.22,2282.92,525.75,715.21
